"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
129388,19,"English (American)","WS","Third","Hispanic","Male",NA,"L715",TRUE,FALSE,"Marchman","Primary","production",92,TRUE,"All Data",4867,"All Data (n = 4867)"
129389,21,"English (American)","WS","Second","Hispanic","Female",NA,"L729",TRUE,FALSE,"Marchman","Some Secondary","production",32,TRUE,"All Data",4867,"All Data (n = 4867)"
129390,16,"English (American)","WS","Second","Black","Male",NA,"L732",TRUE,FALSE,"Marchman","Some College","production",9,TRUE,"All Data",4867,"All Data (n = 4867)"
129391,26,"English (American)","WS","Second","Other","Male",NA,"L735",TRUE,FALSE,"Marchman","Some Secondary","production",54,TRUE,"All Data",4867,"All Data (n = 4867)"
129392,22,"English (American)","WS","Third","White","Female",NA,"L745",TRUE,FALSE,"Marchman","Secondary","production",327,TRUE,"All Data",4867,"All Data (n = 4867)"
129393,29,"English (American)","WS","Second","Hispanic","Male",NA,"L748",TRUE,FALSE,"Marchman","Secondary","production",369,TRUE,"All Data",4867,"All Data (n = 4867)"
129394,24,"English (American)","WS","Second","White","Male",NA,"L750",TRUE,FALSE,"Marchman","Secondary","production",34,TRUE,"All Data",4867,"All Data (n = 4867)"
129395,23,"English (American)","WS","Second","White","Female",NA,"L754",TRUE,FALSE,"Marchman","Some Secondary","production",66,TRUE,"All Data",4867,"All Data (n = 4867)"
129396,28,"English (American)","WS","Second","Other","Female",NA,"L756",TRUE,FALSE,"Marchman","Some Secondary","production",386,TRUE,"All Data",4867,"All Data (n = 4867)"
129397,20,"English (American)","WS","Second","Other","Female",NA,"L762",TRUE,FALSE,"Marchman","Secondary","production",190,TRUE,"All Data",4867,"All Data (n = 4867)"
129398,19,"English (American)","WS","Second","Black","Male",NA,"L767",TRUE,FALSE,"Marchman","Some College","production",23,TRUE,"All Data",4867,"All Data (n = 4867)"
129399,29,"English (American)","WS","Second","Hispanic","Female",NA,"L768",TRUE,FALSE,"Marchman","Some Secondary","production",297,TRUE,"All Data",4867,"All Data (n = 4867)"
129400,21,"English (American)","WS","Third","Other","Male",NA,"L770",TRUE,FALSE,"Marchman","Secondary","production",73,TRUE,"All Data",4867,"All Data (n = 4867)"
129401,25,"English (American)","WS","Second","Hispanic","Male",NA,"L780",TRUE,FALSE,"Marchman","Secondary","production",138,TRUE,"All Data",4867,"All Data (n = 4867)"
129402,29,"English (American)","WS","Third","White","Male",NA,"L781",TRUE,FALSE,"Marchman","Secondary","production",496,TRUE,"All Data",4867,"All Data (n = 4867)"
129403,24,"English (American)","WS","Second","Other","Female",NA,"L783",TRUE,FALSE,"Marchman","College","production",92,TRUE,"All Data",4867,"All Data (n = 4867)"
129404,18,"English (American)","WS","Third","White","Female",NA,"L788",TRUE,FALSE,"Marchman","Some College","production",59,TRUE,"All Data",4867,"All Data (n = 4867)"
129405,20,"English (American)","WS","Second","Black","Male",NA,"L789",TRUE,FALSE,"Marchman","Some College","production",156,TRUE,"All Data",4867,"All Data (n = 4867)"
